# 特殊字元 / 清理報表 — 海岸阿美語 (dialectId=3, lang_code=ami-coastal)
# 統計
{
  "total_xml": 1094,
  "valid": 1094,
  "skipped_placeholder": 0,
  "levels": {
    "1": 256,
    "2": 237,
    "3": 299,
    "4": 302
  },
  "cleaned": 0,
  "with_image": 602,
  "with_audio": 1094,
  "apostrophe_words": 262,
  "slash_words": 161,
  "caret_words": 3,
  "special_chars": {
    "ʼ": 193,
    "/": 161,
    "’": 69,
    "^": 3,
    ":": 3,
    ")": 2,
    "數": 2,
    "(": 2,
    "物": 1,
    "人": 1,
    "…": 1
  }
}

# 逐筆（CLEAN=備註滲入已清理 / SPECIAL=保留的正式拼寫特殊字 / EMPTY=清理後為空）
[FORMAL] 01-10	十	'polo’/mo^tep'	正式拼寫特殊字:/^’
[FORMAL] 01-20	二十	'tosa poloʼ'	正式拼寫特殊字:ʼ
[FORMAL] 01-21	二十一	'tosa poloʼ ira ko cecay'	正式拼寫特殊字:ʼ
[FORMAL] 01-22	二十二	'tosa poloʼ ira ko tosa'	正式拼寫特殊字:ʼ
[FORMAL] 01-23	二十三	'tosa poloʼ ira ko tolo'	正式拼寫特殊字:ʼ
[FORMAL] 01-24	二十四	'tosa poloʼ ira ko sepat'	正式拼寫特殊字:ʼ
[FORMAL] 01-25	二十五	'tosa poloʼ ira ko lima'	正式拼寫特殊字:ʼ
[FORMAL] 01-26	三十	'tolo poloʼ'	正式拼寫特殊字:ʼ
[FORMAL] 01-27	三十一	'tolo poloʼ ira ko cecay'	正式拼寫特殊字:ʼ
[FORMAL] 01-28	四十	'sepat poloʼ'	正式拼寫特殊字:ʼ
[FORMAL] 01-29	五十	'lima poloʼ'	正式拼寫特殊字:ʼ
[FORMAL] 01-30	六十	'enem poloʼ'	正式拼寫特殊字:ʼ
[FORMAL] 01-31	七十	'pito poloʼ'	正式拼寫特殊字:ʼ
[FORMAL] 01-32	八十	'falo poloʼ'	正式拼寫特殊字:ʼ
[FORMAL] 01-33	九十	'siwa poloʼ'	正式拼寫特殊字:ʼ
[FORMAL] 01-34	百	'somo’ot'	正式拼寫特殊字:’
[FORMAL] 01-35	一百	'cecay soʼot'	正式拼寫特殊字:ʼ
[FORMAL] 01-36	兩百	'tosa soʼot'	正式拼寫特殊字:ʼ
[FORMAL] 01-42	一對	'’api'	正式拼寫特殊字:’
[MEMO?] 03-10	多少(歲；物)	'pina(數物)'	疑似備註字元:()數物
