# 特殊字元 / 清理報表 — 恆春阿美語 (dialectId=5, lang_code=ami-hengchun)
# 統計
{
  "total_xml": 1094,
  "valid": 1093,
  "skipped_placeholder": 1,
  "levels": {
    "1": 256,
    "2": 237,
    "3": 298,
    "4": 302
  },
  "cleaned": 1,
  "with_image": 602,
  "with_audio": 1093,
  "apostrophe_words": 278,
  "slash_words": 132,
  "caret_words": 13,
  "special_chars": {
    "ʼ": 261,
    "/": 132,
    "’": 16,
    "^": 13,
    ")": 4,
    "(": 4,
    ";": 3,
    "…": 3,
    ",": 3,
    "孩": 1,
    "小": 1,
    "帶": 1,
    "\\": 1,
    "揹": 1,
    ":": 1,
    "'": 1,
    "紅": 1,
    "口": 1,
    ".": 1
  }
}

# 逐筆（CLEAN=備註滲入已清理 / SPECIAL=保留的正式拼寫特殊字 / EMPTY=清理後為空）
[FORMAL] 01-10	十	'moetep/mo^tep'	正式拼寫特殊字:/^
[FORMAL] 01-11	十一	'mo^tep ra ko cecay'	正式拼寫特殊字:^
[FORMAL] 01-12	十二	'mo^tep ira ko tosa'	正式拼寫特殊字:^
[FORMAL] 01-13	十三	'mo^tep ira ko tolo'	正式拼寫特殊字:^
[FORMAL] 01-14	十四	'mo^tep ira ko sepat'	正式拼寫特殊字:^
[FORMAL] 01-15	十五	'mo^tep ira ko lima'	正式拼寫特殊字:^
[FORMAL] 01-16	十六	'mo^tep ira ko enem'	正式拼寫特殊字:^
[FORMAL] 01-17	十七	'mo^tep ira ko pito'	正式拼寫特殊字:^
[FORMAL] 01-18	十八	'mo^tep ira ko falo'	正式拼寫特殊字:^
[FORMAL] 01-19	十九	'mo^tep ira ko siwa'	正式拼寫特殊字:^
[FORMAL] 01-20	二十	'tosa poloʼ'	正式拼寫特殊字:ʼ
[FORMAL] 01-21	二十一	'tosa poloʼ ira ko cecay'	正式拼寫特殊字:ʼ
[FORMAL] 01-22	二十二	'tosa ploʼ ira ko tosa'	正式拼寫特殊字:ʼ
[FORMAL] 01-23	二十三	'tosa poloʼ ira ko tolo'	正式拼寫特殊字:ʼ
[FORMAL] 01-24	二十四	'tosa poloʼ ira ko sepat'	正式拼寫特殊字:ʼ
[FORMAL] 01-25	二十五	'tosa poloʼ ira ko lima'	正式拼寫特殊字:ʼ
[FORMAL] 01-26	三十	'tolo poloʼ'	正式拼寫特殊字:ʼ
[FORMAL] 01-27	三十一	'tolo poloʼ ira ko cecay'	正式拼寫特殊字:ʼ
[FORMAL] 01-28	四十	'sepat poloʼ'	正式拼寫特殊字:ʼ
[FORMAL] 01-29	五十	'lima poloʼ'	正式拼寫特殊字:ʼ
[FORMAL] 01-30	六十	'enem poloʼ'	正式拼寫特殊字:ʼ
[FORMAL] 01-31	七十	'pito poloʼ'	正式拼寫特殊字:ʼ
[FORMAL] 01-32	八十	'falo poloʼ'	正式拼寫特殊字:ʼ
[FORMAL] 01-33	九十	'siwa poloʼ'	正式拼寫特殊字:ʼ
[FORMAL] 01-34	百	'soʼot'	正式拼寫特殊字:ʼ
[FORMAL] 01-35	一百	'cecay soʼot'	正式拼寫特殊字:ʼ
[FORMAL] 01-36	兩百	'tosa soʼot'	正式拼寫特殊字:ʼ
[FORMAL] 01-37	一千	'cecay caʼol'	正式拼寫特殊字:ʼ
[FORMAL] 01-42	一對	'malaʼapi/malakapi'	正式拼寫特殊字:/ʼ
[FORMAL] 01-43	全部	'maemin/mapolong'	正式拼寫特殊字:/
[FORMAL] 02-20	(像)這樣	'mansa/saka'	正式拼寫特殊字:/
[FORMAL] 03-01	多少	'pina/hakowa'	正式拼寫特殊字:/
[FORMAL] 03-02	什麼	'maan/manan/mimaan'	正式拼寫特殊字:/
[FORMAL] 03-03	如何	'samanen/masamaan'	正式拼寫特殊字:/
[FORMAL] 03-04	何時(未發生)	'i hacowa/ano hacowa'	正式拼寫特殊字:/
[FORMAL] 03-13	何時(已發生)	'hacowa/ano hacowa'	正式拼寫特殊字:/
[FORMAL] 04-01	爸爸	'wama / ama'	正式拼寫特殊字:/
[MEMO?] 04-02	媽媽	'wina ; ina'	疑似備註字元:;
[FORMAL] 04-08	女婿	'ʼacawa'	正式拼寫特殊字:ʼ
[FORMAL] 04-09	舅子	'ʼali'	正式拼寫特殊字:ʼ
[FORMAL] 04-10	弟媳	'ʼali'	正式拼寫特殊字:ʼ
[FORMAL] 04-11	嫂嫂	'ʼali'	正式拼寫特殊字:ʼ
[FORMAL] 04-15	丈夫	'faʼinay'	正式拼寫特殊字:ʼ
[FORMAL] 04-17	兄弟姊妹	'malikakaay/salikaka'	正式拼寫特殊字:/
[FORMAL] 04-21	哥哥	'faʼinayan a kaka'	正式拼寫特殊字:ʼ
[FORMAL] 04-23	弟弟	'faʼinayan a safa'	正式拼寫特殊字:ʼ
[FORMAL] 05-02	男孩	'faʼinayan a wawa'	正式拼寫特殊字:ʼ
[FORMAL] 05-04	朋友	'widang/idang'	正式拼寫特殊字:/
[FORMAL] 05-05	孩童	'kaemangat/wawa'	正式拼寫特殊字:/
[FORMAL] 05-07	女性	'fafahiyan / fafahi'	正式拼寫特殊字:/
[FORMAL] 05-08	男性	'faʼinayan'	正式拼寫特殊字:ʼ
[FORMAL] 05-09	人	'tamdaw/tamdamdaw'	正式拼寫特殊字:/
[FORMAL] 05-12	敵人	'ʼada'	正式拼寫特殊字:ʼ
[FORMAL] 05-24	小姐	'kay^ing'	正式拼寫特殊字:^
[FORMAL] 06-02	大腿	'cepiʼ'	正式拼寫特殊字:ʼ
[FORMAL] 06-10	鼻子	'ngosoʼ'	正式拼寫特殊字:ʼ
[FORMAL] 06-11	腳	'ooʼ'	正式拼寫特殊字:ʼ
[FORMAL] 06-14	血	'ʼilang'	正式拼寫特殊字:ʼ
[FORMAL] 06-15	肉	'heci/titi'	正式拼寫特殊字:/
[FORMAL] 06-16	額頭	'ʼatatongol'	正式拼寫特殊字:ʼ
[FORMAL] 06-19	小腿肚	'ʼafetoy'	正式拼寫特殊字:ʼ
[FORMAL] 06-20	肩膀	'ʼafala'	正式拼寫特殊字:ʼ
[FORMAL] 06-27	肺	'falaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 06-28	心臟	'falocoʼ'	正式拼寫特殊字:ʼ
[FORMAL] 06-32	傷口	'dokaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 06-34	肝臟	'ʼatay'	正式拼寫特殊字:ʼ
[FORMAL] 06-35	痰	'tolohoʼ'	正式拼寫特殊字:ʼ
[FORMAL] 06-36	甲狀腺腫	'filoʼok'	正式拼寫特殊字:ʼ
[FORMAL] 06-39	膽囊	'tilaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 06-40	拇指	'salitaʼang'	正式拼寫特殊字:ʼ
[FORMAL] 06-44	手指	'tarodoʼ'	正式拼寫特殊字:ʼ
[FORMAL] 06-46	汗水	'sinoʼet'	正式拼寫特殊字:ʼ
[FORMAL] 06-47	脖子	'liʼel'	正式拼寫特殊字:ʼ
[FORMAL] 06-51	腳掌	'saripaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 06-52	後頸	'ʼaʼilocan'	正式拼寫特殊字:ʼ
[FORMAL] 06-53	腋窩	'kakiriʼan'	正式拼寫特殊字:ʼ
[FORMAL] 06-54	腎臟	'fowaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 07-06	鳥	'ʼayam'	正式拼寫特殊字:ʼ
[FORMAL] 07-08	雞	'kokoʼ'	正式拼寫特殊字:ʼ
[FORMAL] 07-11	老鼠(統稱)	'ʼedo'	正式拼寫特殊字:ʼ
[FORMAL] 07-12	青蛙	'takolaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 07-14	穿山甲	'ʼalem'	正式拼寫特殊字:ʼ
[FORMAL] 07-19	蛇	'ʼoner'	正式拼寫特殊字:ʼ
[FORMAL] 07-27	蝴蝶	'ʼadipangpang'	正式拼寫特殊字:ʼ
[FORMAL] 07-36	雄性(動物)	'ʼotoyan'	正式拼寫特殊字:ʼ
[FORMAL] 07-39	蚯蚓	'ʼarikak'	正式拼寫特殊字:ʼ
