# 特殊字元 / 清理報表 — 萬山魯凱語 (dialectId=32, lang_code=dru-mantauran)
# 統計
{
  "total_xml": 1094,
  "valid": 1092,
  "skipped_placeholder": 2,
  "levels": {
    "1": 256,
    "2": 237,
    "3": 297,
    "4": 302
  },
  "cleaned": 0,
  "with_image": 602,
  "with_audio": 1092,
  "apostrophe_words": 429,
  "slash_words": 4,
  "caret_words": 0,
  "special_chars": {
    "ʼ": 401,
    "’": 24,
    ")": 12,
    "(": 12,
    "'": 6,
    "/": 4,
    "-": 4,
    ";": 2,
    "?": 1
  }
}

# 逐筆（CLEAN=備註滲入已清理 / SPECIAL=保留的正式拼寫特殊字 / EMPTY=清理後為空）
[FORMAL] 01-01	一	'neka/maeaea'	正式拼寫特殊字:/
[FORMAL] 01-02	二	'madhoʼa'	正式拼寫特殊字:ʼ
[FORMAL] 01-04	四	'maʼepate'	正式拼寫特殊字:ʼ
[FORMAL] 01-12	十二	'mamangele la kadhoʼa'	正式拼寫特殊字:ʼ
[FORMAL] 01-14	十四	'mamangele la kaʼepate'	正式拼寫特殊字:ʼ
[FORMAL] 01-20	二十	'mamapoʼale'	正式拼寫特殊字:ʼ
[FORMAL] 01-21	二十一	'mamapoʼale la kaea'	正式拼寫特殊字:ʼ
[FORMAL] 01-22	二十二	'mamapoʼale la kadhoʼa'	正式拼寫特殊字:ʼ
[FORMAL] 01-23	二十三	'mamapoʼale la katolro'	正式拼寫特殊字:ʼ
[FORMAL] 01-24	二十四	'mamapoʼale la kaʼepate'	正式拼寫特殊字:ʼ
[FORMAL] 01-25	二十五	'mamapoʼale la kalrima'	正式拼寫特殊字:ʼ
[FORMAL] 01-28	四十	'mamaʼepatele'	正式拼寫特殊字:ʼ
[FORMAL] 01-36	兩百	'madhoʼa idhai'	正式拼寫特殊字:ʼ
[FORMAL] 01-39	一次	'ʼoale'	正式拼寫特殊字:ʼ
[FORMAL] 01-41	種類；各式各樣	'maʼapicongo'	正式拼寫特殊字:ʼ
[FORMAL] 01-42	一雙	'mokalidhoʼa'	正式拼寫特殊字:ʼ
[FORMAL] 01-44	一點點	'masiiʼi'	正式拼寫特殊字:ʼ
[FORMAL] 01-45	一半	'ʼoovecahe'	正式拼寫特殊字:ʼ
[FORMAL] 02-01	你	'imiyaʼe'	正式拼寫特殊字:ʼ
[FORMAL] 02-10	你的	'ʼo'	正式拼寫特殊字:ʼ
[FORMAL] 02-17	這個	'ʼina'	正式拼寫特殊字:ʼ
[FORMAL] 02-18	這裡	'ʼinaai'	正式拼寫特殊字:ʼ
[FORMAL] 02-20	(像)這樣	'tiʼa ʼina'	正式拼寫特殊字:ʼ
[FORMAL] 03-04	何時(未發生)	'kalaʼomae'	正式拼寫特殊字:ʼ
[FORMAL] 03-08	是誰的	'aagnai kiyaniiʼae'	正式拼寫特殊字:ʼ
[FORMAL] 03-13	何時(已發生)	'kalaʼomaengadha'	正式拼寫特殊字:ʼ
[FORMAL] 04-03	堂、表兄弟姐妹	'kadhalraʼa paʼatakataka'	正式拼寫特殊字:ʼ
[FORMAL] 04-09	舅子	'sakadha’ane'	正式拼寫特殊字:’
[FORMAL] 04-10	弟媳	'sakadha’ane'	正式拼寫特殊字:’
[FORMAL] 04-11	嫂嫂	'sakadhaʼane'	正式拼寫特殊字:ʼ
[FORMAL] 04-14	夫妻	'paʼapalange'	正式拼寫特殊字:ʼ
[FORMAL] 04-16	姻親	'madhaʼananae'	正式拼寫特殊字:ʼ
[FORMAL] 04-17	兄弟姊妹	'paʼatakataka'	正式拼寫特殊字:ʼ
[FORMAL] 04-20	姊姊	'taka ʼavai'	正式拼寫特殊字:ʼ
[FORMAL] 04-21	哥哥	'taka ʼaolai'	正式拼寫特殊字:ʼ
[FORMAL] 04-22	(弟弟；妹妹)通稱	'ʼadhi'	正式拼寫特殊字:ʼ
[FORMAL] 04-23	弟弟	'ʼadhi ʼaolai'	正式拼寫特殊字:ʼ
[FORMAL] 04-24	妹妹	'ʼadhi ʼavai'	正式拼寫特殊字:ʼ
[FORMAL] 05-02	男孩	'ʼaolai'	正式拼寫特殊字:ʼ
[FORMAL] 05-03	女孩	'ʼavai'	正式拼寫特殊字:ʼ
[FORMAL] 05-07	女性	'ʼavai'	正式拼寫特殊字:ʼ
[FORMAL] 05-08	男性	'ʼaolai'	正式拼寫特殊字:ʼ
[FORMAL] 05-10	醫生	'taposavoʼovoʼoe'	正式拼寫特殊字:ʼ
[FORMAL] 05-13	長官	'cahaʼe'	正式拼寫特殊字:ʼ
[FORMAL] 05-15	警察	'ʼaomo'	正式拼寫特殊字:ʼ
[FORMAL] 06-09	身體(人)	'votolroʼo'	正式拼寫特殊字:ʼ
[FORMAL] 06-10	鼻子	'ngongoʼo'	正式拼寫特殊字:ʼ
[FORMAL] 06-12	牙齒	'aliʼi'	正式拼寫特殊字:ʼ
[FORMAL] 06-13	頭髮	'iyoʼo'	正式拼寫特殊字:ʼ
[FORMAL] 06-24	胸腔	'tokoʼo'	正式拼寫特殊字:ʼ
[MEMO?] 06-25	男性生殖器	'ʼelrele (kahimadhehe)'	疑似備註字元:()
[FORMAL] 06-25	男性生殖器	'ʼelrele (kahimadhehe)'	正式拼寫特殊字:ʼ
[FORMAL] 06-26	女性生殖器	'ngeceʼe'	正式拼寫特殊字:ʼ
[FORMAL] 06-32	傷口	'takacongaʼae'	正式拼寫特殊字:ʼ
[FORMAL] 06-35	痰	'soʼolo'	正式拼寫特殊字:ʼ
[FORMAL] 06-36	甲狀腺腫	'dhaʼolro'	正式拼寫特殊字:ʼ
[FORMAL] 06-37	油脂	'ʼimaʼa'	正式拼寫特殊字:ʼ
[FORMAL] 06-41	喉嚨	'coloʼolrae'	正式拼寫特殊字:ʼ
[FORMAL] 06-45	門牙	'talicovongae aliʼi'	正式拼寫特殊字:ʼ
[FORMAL] 06-47	脖子	'lreʼe'	正式拼寫特殊字:ʼ
[FORMAL] 06-52	頸子；領子	'lreʼe'	正式拼寫特殊字:ʼ
[FORMAL] 06-54	腎臟	'pedheʼe'	正式拼寫特殊字:ʼ
[FORMAL] 07-01	尾巴	'ʼiko'	正式拼寫特殊字:ʼ
[FORMAL] 07-02	豬	'oveʼeke'	正式拼寫特殊字:ʼ
[FORMAL] 07-03	狗	'taʼolro'	正式拼寫特殊字:ʼ
[FORMAL] 07-04	羊	'kiiʼi'	正式拼寫特殊字:ʼ
[FORMAL] 07-07	魚	'kaʼange'	正式拼寫特殊字:ʼ
[FORMAL] 07-11	老鼠(統稱)	'aʼataʼatange'	正式拼寫特殊字:ʼ
[FORMAL] 07-13	貓頭鷹	'koʼo'	正式拼寫特殊字:ʼ
[FORMAL] 07-17	蟲(統稱)	'ʼekai'	正式拼寫特殊字:ʼ
[FORMAL] 07-19	蛇	'ʼolraʼa'	正式拼寫特殊字:ʼ
[FORMAL] 07-22	水鹿	'ʼalongae'	正式拼寫特殊字:ʼ
[FORMAL] 07-26	蜻蜓	'salipoopolraʼa'	正式拼寫特殊字:ʼ
[FORMAL] 07-36	雄性(動物)	'valaʼe'	正式拼寫特殊字:ʼ
[FORMAL] 07-38	鴨	'kongaʼa'	正式拼寫特殊字:ʼ
[FORMAL] 07-46	螃蟹	'apaʼe'	正式拼寫特殊字:ʼ
[FORMAL] 07-50	蝙蝠	'tavalroolraʼo'	正式拼寫特殊字:ʼ
[FORMAL] 07-55	螞蟻	'avongoʼo'	正式拼寫特殊字:ʼ
[FORMAL] 07-56	鵝	'kongaʼa'	正式拼寫特殊字:ʼ
[FORMAL] 07-57	水鳥	'coʼi'	正式拼寫特殊字:ʼ
[FORMAL] 07-58	鳥巢	'taaʼiloko'	正式拼寫特殊字:ʼ
[FORMAL] 08-03	樹	'ʼangato'	正式拼寫特殊字:ʼ
[FORMAL] 08-05	甘蔗	'covoʼo'	正式拼寫特殊字:ʼ
[FORMAL] 08-06	葉子	'liʼange'	正式拼寫特殊字:ʼ
[FORMAL] 08-09	花朵	'ʼaelrenge'	正式拼寫特殊字:ʼ
[FORMAL] 08-11	雜草	'ʼolrao'	正式拼寫特殊字:ʼ
[FORMAL] 08-20	草	'ʼolrao'	正式拼寫特殊字:ʼ
[FORMAL] 08-21	藤類	'aʼedhe'	正式拼寫特殊字:ʼ
[FORMAL] 08-28	樹根	"'angato ʼamici"	正式拼寫特殊字:'ʼ
[FORMAL] 08-30	姑婆芋	'viʼa'	正式拼寫特殊字:ʼ
[FORMAL] 08-34	蔬菜(通稱)	'aa’o'	正式拼寫特殊字:’
[FORMAL] 08-42	檜木	'vaʼali'	正式拼寫特殊字:ʼ
[FORMAL] 08-43	幼苗	'ʼalredheke'	正式拼寫特殊字:ʼ
[FORMAL] 08-44	種子	'ʼepe'	正式拼寫特殊字:ʼ
[FORMAL] 08-47	過貓	'maʼongo'	正式拼寫特殊字:ʼ
[FORMAL] 09-06	筆	'ʼasolasolate'	正式拼寫特殊字:ʼ
[FORMAL] 09-07	椅子	'taʼele'	正式拼寫特殊字:ʼ
[FORMAL] 09-08	藥物	'savoʼoe'	正式拼寫特殊字:ʼ
[FORMAL] 09-13	鉤子	'ʼakaili'	正式拼寫特殊字:ʼ
[FORMAL] 09-15	繩索	'caiʼi'	正式拼寫特殊字:ʼ
[FORMAL] 09-17	木杵	'ʼolro'	正式拼寫特殊字:ʼ
[FORMAL] 09-19	篩子	'ʼavelre'	正式拼寫特殊字:ʼ
[FORMAL] 09-20	小刀	'akoʼedhe'	正式拼寫特殊字:ʼ
[FORMAL] 09-28	蓋子	'ʼakohovohovongo'	正式拼寫特殊字:ʼ
[FORMAL] 09-29	(竹製的)刮麻具	'ʼakoʼikoʼidhi'	正式拼寫特殊字:ʼ
[FORMAL] 09-34	網子	'ʼasiyo'	正式拼寫特殊字:ʼ
[FORMAL] 09-36	鋸子	'ʼahisihisihisi'	正式拼寫特殊字:ʼ
[FORMAL] 09-38	杯子	'ʼaongoʼongolo'	正式拼寫特殊字:ʼ
[FORMAL] 09-39	釣具	'ʼalrakilrakisi'	正式拼寫特殊字:ʼ
[FORMAL] 09-41	鍋鏟	'ʼahingihingihingi'	正式拼寫特殊字:ʼ
[FORMAL] 09-43	夾子	'ʼakapikapici'	正式拼寫特殊字:ʼ
[FORMAL] 09-44	床舖	'ta’ape’apecae'	正式拼寫特殊字:’
[FORMAL] 09-45	梗	'ʼano'	正式拼寫特殊字:ʼ
[FORMAL] 09-47	工具	'ʼahakiki'	正式拼寫特殊字:ʼ
[FORMAL] 09-55	濾酒渣網	'ʼavelre'	正式拼寫特殊字:ʼ
[FORMAL] 09-58	扇子	'ʼavidhividhividhi'	正式拼寫特殊字:ʼ
[FORMAL] 09-59	湯鍋	'totapaʼilralranae'	正式拼寫特殊字:ʼ
